5 Minutes,Flow (Veh/5 Minutes)
4/1/2020 0:00,12
4/1/2020 0:05,13
4/1/2020 0:10,11
4/1/2020 0:15,13
4/1/2020 0:20,10
4/1/2020 0:25,10
4/1/2020 0:30,13
4/1/2020 0:35,11
4/1/2020 0:40,10
4/1/2020 0:45,6
4/1/2020 0:50,7
4/1/2020 0:55,8
4/1/2020 1:00,8
4/1/2020 1:05,12
4/1/2020 1:10,7
4/1/2020 1:15,5
4/1/2020 1:20,2
4/1/2020 1:25,6
4/1/2020 1:30,4
4/1/2020 1:35,3
4/1/2020 1:40,5
4/1/2020 1:45,6
4/1/2020 1:50,5
4/1/2020 1:55,6
4/1/2020 2:00,7
4/1/2020 2:05,7
4/1/2020 2:10,7
4/1/2020 2:15,3
4/1/2020 2:20,8
4/1/2020 2:25,5
4/1/2020 2:30,6
4/1/2020 2:35,4
4/1/2020 2:40,5
4/1/2020 2:45,7
4/1/2020 2:50,2
4/1/2020 2:55,9
4/1/2020 3:00,10
4/1/2020 3:05,7
4/1/2020 3:10,4
4/1/2020 3:15,6
4/1/2020 3:20,6
4/1/2020 3:25,4
4/1/2020 3:30,6
4/1/2020 3:35,15
4/1/2020 3:40,8
4/1/2020 3:45,9
4/1/2020 3:50,17
4/1/2020 3:55,16
4/1/2020 4:00,11
4/1/2020 4:05,15
4/1/2020 4:10,19
4/1/2020 4:15,15
4/1/2020 4:20,20
4/1/2020 4:25,26
4/1/2020 4:30,24
4/1/2020 4:35,27
4/1/2020 4:40,40
4/1/2020 4:45,50
4/1/2020 4:50,52
4/1/2020 4:55,51
4/1/2020 5:00,47
4/1/2020 5:05,51
4/1/2020 5:10,67
4/1/2020 5:15,72
4/1/2020 5:20,63
4/1/2020 5:25,68
4/1/2020 5:30,93
4/1/2020 5:35,93
4/1/2020 5:40,98
4/1/2020 5:45,95
4/1/2020 5:50,92
4/1/2020 5:55,98
4/1/2020 6:00,114
4/1/2020 6:05,98
4/1/2020 6:10,129
4/1/2020 6:15,125
4/1/2020 6:20,141
4/1/2020 6:25,123
4/1/2020 6:30,146
4/1/2020 6:35,139
4/1/2020 6:40,146
4/1/2020 6:45,146
4/1/2020 6:50,134
4/1/2020 6:55,134
4/1/2020 7:00,147
4/1/2020 7:05,138
4/1/2020 7:10,144
4/1/2020 7:15,131
4/1/2020 7:20,118
4/1/2020 7:25,104
4/1/2020 7:30,110
4/1/2020 7:35,98
4/1/2020 7:40,83
4/1/2020 7:45,79
4/1/2020 7:50,77
4/1/2020 7:55,77
4/1/2020 8:00,87
4/1/2020 8:05,91
4/1/2020 8:10,92
4/1/2020 8:15,79
4/1/2020 8:20,86
4/1/2020 8:25,93
4/1/2020 8:30,94
4/1/2020 8:35,101
4/1/2020 8:40,90
4/1/2020 8:45,83
4/1/2020 8:50,80
4/1/2020 8:55,85
4/1/2020 9:00,86
4/1/2020 9:05,79
4/1/2020 9:10,87
4/1/2020 9:15,104
4/1/2020 9:20,94
4/1/2020 9:25,136
4/1/2020 9:30,126
4/1/2020 9:35,123
4/1/2020 9:40,112
4/1/2020 9:45,104
4/1/2020 9:50,94
4/1/2020 9:55,118
4/1/2020 10:00,87
4/1/2020 10:05,101
4/1/2020 10:10,104
4/1/2020 10:15,97
4/1/2020 10:20,103
4/1/2020 10:25,87
4/1/2020 10:30,102
4/1/2020 10:35,99
4/1/2020 10:40,94
4/1/2020 10:45,86
4/1/2020 10:50,96
4/1/2020 10:55,88
4/1/2020 11:00,83
4/1/2020 11:05,87
4/1/2020 11:10,94
4/1/2020 11:15,94
4/1/2020 11:20,86
4/1/2020 11:25,112
4/1/2020 11:30,102
4/1/2020 11:35,70
4/1/2020 11:40,97
4/1/2020 11:45,80
4/1/2020 11:50,80
4/1/2020 11:55,89
4/1/2020 12:00,93
4/1/2020 12:05,81
4/1/2020 12:10,88
4/1/2020 12:15,81
4/1/2020 12:20,92
4/1/2020 12:25,87
4/1/2020 12:30,83
4/1/2020 12:35,98
4/1/2020 12:40,98
4/1/2020 12:45,89
4/1/2020 12:50,93
4/1/2020 12:55,85
4/1/2020 13:00,99
4/1/2020 13:05,67
4/1/2020 13:10,89
4/1/2020 13:15,63
4/1/2020 13:20,88
4/1/2020 13:25,89
4/1/2020 13:30,80
4/1/2020 13:35,79
4/1/2020 13:40,98
4/1/2020 13:45,102
4/1/2020 13:50,83
4/1/2020 13:55,88
4/1/2020 14:00,102
4/1/2020 14:05,93
4/1/2020 14:10,78
4/1/2020 14:15,87
4/1/2020 14:20,93
4/1/2020 14:25,80
4/1/2020 14:30,67
4/1/2020 14:35,86
4/1/2020 14:40,107
4/1/2020 14:45,100
4/1/2020 14:50,76
4/1/2020 14:55,104
4/1/2020 15:00,95
4/1/2020 15:05,82
4/1/2020 15:10,88
4/1/2020 15:15,90
4/1/2020 15:20,100
4/1/2020 15:25,92
4/1/2020 15:30,99
4/1/2020 15:35,102
4/1/2020 15:40,98
4/1/2020 15:45,86
4/1/2020 15:50,99
4/1/2020 15:55,85
4/1/2020 16:00,102
4/1/2020 16:05,72
4/1/2020 16:10,105
4/1/2020 16:15,97
4/1/2020 16:20,91
4/1/2020 16:25,80
4/1/2020 16:30,83
4/1/2020 16:35,77
4/1/2020 16:40,100
4/1/2020 16:45,82
4/1/2020 16:50,93
4/1/2020 16:55,78
4/1/2020 17:00,87
